config_name,risk_scenario,strike_scenario,sizing_scenario,strategy_scenario,success,total_return,max_drawdown,sharpe_ratio,win_rate,num_trades,circuit_breaker
very_conservative_narrow_small_msft_only,very_conservative,narrow,small,msft_only,True,21.61,4.65,1.42,100.00,1,True
very_conservative_narrow_normal_all_enabled,very_conservative,narrow,normal,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_normal_high_conviction,very_conservative,narrow,normal,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_normal_msft_only,very_conservative,narrow,normal,msft_only,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_large_all_enabled,very_conservative,narrow,large,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_large_high_conviction,very_conservative,narrow,large,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_narrow_large_msft_only,very_conservative,narrow,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_small_all_enabled,very_conservative,wide,small,all_enabled,True,21.61,4.65,1.42,100.00,1,True
very_conservative_wide_small_high_conviction,very_conservative,wide,small,high_conviction,True,21.61,4.65,1.42,100.00,1,True
very_conservative_wide_small_msft_only,very_conservative,wide,small,msft_only,True,21.61,4.65,1.42,100.00,1,True
very_conservative_wide_normal_all_enabled,very_conservative,wide,normal,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_normal_high_conviction,very_conservative,wide,normal,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_normal_msft_only,very_conservative,wide,normal,msft_only,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_large_all_enabled,very_conservative,wide,large,all_enabled,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_large_high_conviction,very_conservative,wide,large,high_conviction,True,0.00,0.00,0.00,0.00,0,False
very_conservative_wide_large_msft_only,very_conservative,wide,large,msft_only,True,0.00,0.00,0.00,0.00,0,False
